iter	R2	RMSE
101	0.8371596365	0.03477077144
102	0.8386180273	0.03461471853
103	0.8394118811	0.03452947697
104	0.8402070899	0.03444387843
105	0.8405767577	0.03440401381
106	0.8413318107	0.03432244577
107	0.8420840208	0.03424099163
108	0.8428613263	0.03415661592
109	0.8436201462	0.03407404526
110	0.8444368783	0.03398494876
111	0.8455795528	0.03385990206
112	0.84620167	0.03379162715
113	0.8473741263	0.03366257827
114	0.8479468819	0.03359935651
115	0.8490426682	0.03347806899
116	0.8499592994	0.03337627279
117	0.8508798607	0.03327372668
118	0.851576091	0.03319595959
119	0.8518189643	0.03316878839
120	0.8525278003	0.03308936049
121	0.8536754652	0.03296035424
122	0.8541531328	0.03290651173
123	0.8548078908	0.03283256417
124	0.8552742313	0.03277979454
125	0.8561816331	0.03267687156
126	0.8570026724	0.03258346417
127	0.8577492448	0.03249829562
128	0.8586136528	0.03239940479
129	0.8592613895	0.0323251035
130	0.8599917499	0.03224111914
131	0.8606655424	0.03216344507
132	0.8615023683	0.03206671472
133	0.8622510642	0.03197992352
134	0.8630346034	0.03188884021
135	0.8637308854	0.03180768133
136	0.8644359695	0.0317252849
137	0.8652134972	0.03163417386
138	0.8662507489	0.03151221814
139	0.8668084312	0.03144645267
140	0.8673172248	0.03138633226
141	0.8684467565	0.03125245041
142	0.8691217486	0.03117217004
143	0.8697641817	0.03109556958
144	0.8700686641	0.03105919865
145	0.8707009561	0.03098353395
146	0.8712794097	0.03091414972
147	0.8717031219	0.03086322742
148	0.8722404561	0.03079852877
149	0.8727943109	0.03073169839
150	0.8735647721	0.03063848894
151	0.8741594109	0.03056635594
152	0.8746111452	0.03051144405
153	0.8749043094	0.03047575469
154	0.8757803036	0.03036886257
155	0.8762427825	0.03031227713
156	0.8765566941	0.030273809
157	0.8772386452	0.03019007077
158	0.8776561949	0.03013868411
159	0.8785620398	0.03002690199
160	0.8792498204	0.02994175051
161	0.879752251	0.02987939312
162	0.8803029181	0.0298108992
163	0.8807678336	0.02975294861
164	0.8812813795	0.02968880488
165	0.8815248369	0.02965834769
166	0.8817693587	0.02962772584
167	0.8822435234	0.02956825507
168	0.8830076054	0.02947216974
169	0.8833421257	0.02943000419
170	0.8837178455	0.02938257339
171	0.8840924051	0.02933521272
172	0.8847912768	0.0292466398
173	0.8852501715	0.02918833467
174	0.8856363054	0.02913918383
175	0.8862272996	0.02906379541
176	0.8868045324	0.02898997318
177	0.8873119814	0.02892491997
178	0.8877485205	0.02886883987
179	0.8882346485	0.02880626083
180	0.8884554137	0.0287777969
181	0.888952628	0.0287135862
182	0.8892435187	0.02867595364
183	0.8898978071	0.0285911273
184	0.8902735481	0.02854229974
185	0.890913873	0.02845889649
186	0.8912988155	0.02840863931
187	0.8919298823	0.02832605584
188	0.8923898603	0.02826570957
189	0.8927066443	0.02822407443
190	0.8928847199	0.02820064285
191	0.8935109469	0.02811808745
192	0.8937340474	0.02808861752
193	0.8942815457	0.02801616568
194	0.8947688433	0.02795152238
195	0.8954348312	0.02786293207
196	0.8960143897	0.02778560881
197	0.8964911864	0.02772183409
198	0.8969030296	0.02766662899
199	0.8971244554	0.02763690262
